Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,AB,G,AVG,wOBA,xWOBA,2B,HR,K%,BB%,ExitVel,Air EV,90thExitVel,MinMxExitVel,LaunchAng,LA10-30%,EV95+LA10-30%,Swing%,Z-Swing,Z-Contact%,O-Swing%,SwStrk%,Miss vs 93+ FB,xSLG vs 93+ FB,Miss vs Spin 83+,xSLG vs 83+ Spin
1,1311692544,A. Sierra,Armando Sierra,Sierra,Armando,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,1,1,13,1,1.252,0,1,0,0.00%,0.00%,-,-,-,-,-,-,-,100.00%,-,100.00%,-,0.00%,0.00%,-,-,-
2,1217946368,L. Pettitte,Luke Pettitte,Pettitte,Luke,P,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,4,1,12,1,0.886,0.801,0,0,0.00%,0.00%,104.8,-,104.8,104.8,10.9,100.00%,100.00%,75.00%,100.00%,50.00%,50.00%,25.00%,33.30%,-,-,-
2,1226973184,N. Vidmar,Nathan Vidmar,Vidmar,Nathan,P,Delaware State University,DSU,730217984,Delaware State,BBC,U,R,5,1,18,1,0.886,0,0,0,0.00%,0.00%,-,-,-,-,-,-,-,60.00%,-,100.00%,-,0.00%,0.00%,-,-,-
2,1175513856,Q. Bennett,Quin Bennett,Bennett,Quin,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,1,1,14,1,0.886,0,0,0,0.00%,0.00%,-,-,-,-,-,-,-,100.00%,-,100.00%,-,0.00%,0.00%,-,-,-
5,1330777345,B. Leonard,Bryce Leonard,Leonard,Bryce,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,4,1,13,1,0.807,0.364,0,0,0.00%,0.00%,-,-,-,-,-,-,-,25.00%,0.00%,100.00%,0.00%,0.00%,0.00%,-,-,-
6,1204946432,P. Forbes,Patrick Forbes,Forbes,Patrick,P,University of Louisville,LOU,5467,Louisville,BBC,R,R,1,0,13,-,0.728,0.728,0,0,0.00%,0.00%,32.5,32.5,32.5,32.5,74.3,-,-,0.00%,-,100.00%,0.00%,0.00%,-,-,-,-
7,1132735744,C. Ingram,Chase Ingram,Ingram,Chase,P,UAB,UAB,730345984,UAB,BBC,R,R,5,0,20,-,0.697,0.697,0,0,0.00%,100.00%,-,-,-,-,-,-,-,20.00%,-,100.00%,-,0.00%,0.00%,-,-,-
7,1181951232,M. Buchanan,Matthew Buchanan,Buchanan,Matthew,P,University of Virginia,UVA,5415,Virginia,BBC,L,L,5,0,10,-,0.697,0.697,0,0,0.00%,100.00%,-,-,-,-,-,-,-,0.00%,0.00%,100.00%,0.00%,0.00%,-,-,-,-
7,1074572288,B. Reinke,Brian Reinke,Reinke,Brian,P,University of Richmond,RICH,730171904,Richmond,BBC,L,L,1,0,22,-,0.697,0.697,0,0,0.00%,100.00%,-,-,-,-,-,-,-,0.00%,-,100.00%,0.00%,0.00%,-,-,-,-
7,1237660928,G. Manning,Grant Manning,Manning,Grant,P,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,5,0,19,-,0.697,0.697,0,0,0.00%,100.00%,-,-,-,-,-,-,-,0.00%,0.00%,100.00%,0.00%,0.00%,-,-,-,-
