Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,AB,G,AVG,wOBA,xWOBA,2B,HR,K%,BB%,ExitVel,Air EV,90thExitVel,MinMxExitVel,LaunchAng,LA10-30%,EV95+LA10-30%,Swing%,InZoneSwing%,Z-Contact%,Chase%,SwStrk%,Miss vs 93+ FB,xSLG vs 93+ FB,Miss vs 83+Spin,xSLG vs 83+ Spin,O-Contact%,HardHit%,Contact%
1,1279221760,C. Thibodeaux,Cardell Thibodeaux,Thibodeaux,Cardell,LF,Southern University,SOU,4767,Southern,BBC,L,L,843,189,0,0.439,0.567,0.311,13,18,11.30%,16.40%,85,86,100,101.9,8.9,25.00%,20.00%,39.50%,61.90%,84.40%,15.90%,7.20%,71.40%,0.006,0.00%,-,61.70%,30%,81.70%
2,1238179072,L. Devenport,Logen Devenport,Devenport,Logen,CF,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,869,169,0,0.42,0.544,0.386,19,14,19.10%,14.90%,88,89.8,105.7,108.4,15,30.80%,11.50%,36.10%,55.10%,88.60%,23.30%,7.60%,16.70%,0.534,0.00%,0.233,62.10%,37%,79.00%
3,1204866561,K. Durschlag,Konni Durschlag,Durschlag,Konni,CF,High Point University,HP,730321152,High Point,BBC,R,R,1106,221,0,0.43,0.535,0.435,23,15,12.00%,13.80%,93.6,91.8,108,113,13.9,34.80%,23.20%,36.20%,56.00%,88.00%,20.80%,6.10%,46.40%,0.291,33.30%,0.447,72.50%,53%,83.30%
4,1162533632,C. Nickens,Cameron Nickens,Nickens,Cameron,LF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,1055,236,0,0.419,0.53,0.384,24,18,9.60%,16.00%,93.4,93.7,107.4,114.9,7.4,27.40%,23.60%,39.80%,67.50%,88.90%,19.50%,6.70%,22.20%,0.322,28.60%,0.256,67.90%,58%,83.10%
5,1204444928,R. Zaborowski,Ryland Zaborowski,Zaborowski,Ryland,1B,University of Georgia,UGA,226,Georgia,BBC,R,R,693,146,0,0.37,0.528,0.442,10,17,21.70%,15.80%,94.9,98,107.6,110.4,15.7,37.90%,28.70%,41.60%,69.20%,82.50%,20.90%,10.80%,32.40%,0.365,27.80%,0.495,52.60%,62%,74.00%
6,1213817600,J. Bay,John Bay,Bay,John,CF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,1102,224,0,0.357,0.522,0.412,16,22,21.10%,16.30%,93.6,94.8,110.9,114.7,8.5,33.30%,27.50%,40.60%,68.60%,79.30%,22.10%,12.70%,30.80%,0.195,85.00%,0.016,45.50%,62%,68.70%
7,1122150400,K. Fossum,Kyle Fossum,Fossum,Kyle,RF,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,1097,220,0,0.382,0.52,0.402,18,23,19.30%,16.80%,93,96.6,108.6,115.5,12.6,34.20%,21.90%,41.10%,63.20%,78.60%,27.60%,10.50%,11.10%,0.204,44.40%,0.608,63.60%,55%,74.50%
8,1153726208,B. Simpson,Brayden Simpson,Simpson,Brayden,3B,High Point University,HP,730321152,High Point,BBC,R,R,1062,234,0,0.389,0.517,0.45,24,22,16.50%,8.60%,93.1,95.1,108.4,113.1,15.8,36.20%,25.80%,42.80%,67.40%,84.70%,22.80%,8.70%,50.00%,0.259,42.90%,0.04,65.90%,53%,79.80%
9,1257458688,C. Tinney,Carson Tinney,Tinney,Carson,C,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,858,158,0,0.348,0.516,0.487,13,17,19.50%,16.60%,95.8,96.8,111.2,115.6,14.7,34.30%,26.90%,39.30%,64.20%,79.30%,20.80%,12.00%,26.30%,0.77,50.00%,0.834,46.00%,58%,69.40%
10,1274480640,J. Quinn-Irons,James Quinn-Irons,Quinn-Irons,James,CF,George Mason University,GMU,730265088,George Mason,BBC,R,R,1088,242,0,0.413,0.516,0.378,23,16,15.40%,13.10%,89.8,91.4,110,116.4,9.9,30.10%,21.30%,41.70%,66.90%,89.70%,25.90%,9.00%,30.80%,0.468,35.70%,0.173,56.90%,48%,78.40%
